timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673241651201,1275,login,200,OK,rokomari 1-266,text,true,,82866,242,300,300,https://www.rokomari.com/login,480,0,268
1673241651201,486,login-0,301,Moved Permanently,rokomari 1-266,text,true,,1038,119,300,300,https://rokomari.com/login,480,0,268
1673241651689,787,login-1,200,OK,rokomari 1-266,text,true,,81828,123,300,300,https://www.rokomari.com/login,690,0,429
1673241650823,1711,login,200,OK,rokomari 1-151,text,true,,82863,242,300,300,https://www.rokomari.com/login,960,0,687
1673241650823,961,login-0,301,Moved Permanently,rokomari 1-151,text,true,,1040,119,300,300,https://rokomari.com/login,960,0,687
1673241651784,750,login-1,200,OK,rokomari 1-151,text,true,,81823,123,300,300,https://www.rokomari.com/login,639,0,439
1673241650914,1692,login,200,OK,rokomari 1-181,text,true,,82858,242,300,300,https://www.rokomari.com/login,795,0,557
1673241650914,797,login-0,301,Moved Permanently,rokomari 1-181,text,true,,1040,119,300,300,https://rokomari.com/login,795,0,557
1673241651712,894,login-1,200,OK,rokomari 1-181,text,true,,81818,123,300,300,https://www.rokomari.com/login,717,0,466
1673241651003,3011,login,200,OK,rokomari 1-203,text,true,,82865,242,300,300,https://www.rokomari.com/login,1043,0,496
1673241651003,1044,login-0,301,Moved Permanently,rokomari 1-203,text,true,,1046,119,300,300,https://rokomari.com/login,1043,0,496
1673241652048,1966,login-1,200,OK,rokomari 1-203,text,true,,81819,123,300,300,https://www.rokomari.com/login,674,0,420
1673241651092,3488,login,200,OK,rokomari 1-240,text,true,,82862,242,300,300,https://www.rokomari.com/login,1447,0,1116
1673241651092,1447,login-0,301,Moved Permanently,rokomari 1-240,text,true,,1044,119,300,300,https://rokomari.com/login,1447,0,1116
1673241652541,2039,login-1,200,OK,rokomari 1-240,text,true,,81818,123,300,300,https://www.rokomari.com/login,1218,0,622
1673241650740,4384,login,200,OK,rokomari 1-123,text,true,,82858,242,300,300,https://www.rokomari.com/login,1316,0,753
